,Power
2024-05-28 00:00:00,0.0
2024-05-28 00:05:00,0.0
2024-05-28 00:10:00,0.0
2024-05-28 00:15:00,0.0
2024-05-28 00:20:00,0.0
2024-05-28 00:25:00,0.0
2024-05-28 00:30:00,0.0
2024-05-28 00:35:00,0.0
2024-05-28 00:40:00,0.0
2024-05-28 00:45:00,0.0
2024-05-28 00:50:00,0.0
2024-05-28 00:55:00,0.0
2024-05-28 01:00:00,0.0
2024-05-28 01:05:00,0.0
2024-05-28 01:10:00,0.0
2024-05-28 01:15:00,0.0
2024-05-28 01:20:00,0.0
2024-05-28 01:25:00,0.0
2024-05-28 01:30:00,0.0
2024-05-28 01:35:00,0.0
2024-05-28 01:40:00,0.0
2024-05-28 01:45:00,0.0
2024-05-28 01:50:00,0.0
2024-05-28 01:55:00,0.0
2024-05-28 02:00:00,0.0
2024-05-28 02:05:00,0.0
2024-05-28 02:10:00,0.0
2024-05-28 02:15:00,0.0
2024-05-28 02:20:00,0.0
2024-05-28 02:25:00,0.0
2024-05-28 02:30:00,0.0
2024-05-28 02:35:00,0.0
2024-05-28 02:40:00,0.0
2024-05-28 02:45:00,0.0
2024-05-28 02:50:00,0.0
2024-05-28 02:55:00,0.0
2024-05-28 03:00:00,0.0
2024-05-28 03:05:00,0.0
2024-05-28 03:10:00,0.0
2024-05-28 03:15:00,0.0
2024-05-28 03:20:00,0.0
2024-05-28 03:25:00,0.0
2024-05-28 03:30:00,0.0
2024-05-28 03:35:00,0.0
2024-05-28 03:40:00,0.0
2024-05-28 03:45:00,0.0
2024-05-28 03:50:00,0.0
2024-05-28 03:55:00,0.0
2024-05-28 04:00:00,0.0
2024-05-28 04:05:00,0.0
2024-05-28 04:10:00,0.0
2024-05-28 04:15:00,0.0
2024-05-28 04:20:00,0.0
2024-05-28 04:25:00,0.0
2024-05-28 04:30:00,0.0
2024-05-28 04:35:00,0.0
2024-05-28 04:40:00,0.0
2024-05-28 04:45:00,0.0
2024-05-28 04:50:00,0.0
2024-05-28 04:55:00,0.0
2024-05-28 05:00:00,0.0
2024-05-28 05:05:00,0.0006428262144327164
2024-05-28 05:10:00,0.0008732860833406449
2024-05-28 05:15:00,0.0009397178143262864
2024-05-28 05:20:00,0.0010309327244758606
2024-05-28 05:25:00,0.0010942581295967102
2024-05-28 05:30:00,0.0011979996860027311
2024-05-28 05:35:00,0.0015036194324493408
2024-05-28 05:40:00,0.0020817696452140808
2024-05-28 05:45:00,0.0026798409223556517
2024-05-28 05:50:00,0.0025049912333488466
2024-05-28 05:55:00,0.002286551535129547
2024-05-28 06:00:00,0.004968148171901703
2024-05-28 06:05:00,0.007135612189769745
2024-05-28 06:10:00,0.009814676523208618
2024-05-28 06:15:00,0.016797470331192017
2024-05-28 06:20:00,0.02619326448440552
2024-05-28 06:25:00,0.04193917322158813
2024-05-28 06:30:00,0.058177874565124514
2024-05-28 06:35:00,0.08236282253265381
2024-05-28 06:40:00,0.10971935844421388
2024-05-28 06:45:00,0.1254601707458496
2024-05-28 06:50:00,0.1446511116027832
2024-05-28 06:55:00,0.1626549873352051
2024-05-28 07:00:00,0.17787992477416992
2024-05-28 07:05:00,0.20146471405029298
2024-05-28 07:10:00,0.2380552673339844
2024-05-28 07:15:00,0.2840753593444824
2024-05-28 07:20:00,0.32096980285644533
2024-05-28 07:25:00,0.34336190032958985
2024-05-28 07:30:00,0.3741991882324219
2024-05-28 07:35:00,0.4178504943847656
2024-05-28 07:40:00,0.5026650466918945
2024-05-28 07:45:00,0.5918919448852539
2024-05-28 07:50:00,0.6021057586669922
2024-05-28 07:55:00,0.6128126983642578
2024-05-28 08:00:00,0.6888700714111328
2024-05-28 08:05:00,0.7685325469970703
2024-05-28 08:10:00,0.7986867218017578
2024-05-28 08:15:00,0.8139444274902343
2024-05-28 08:20:00,0.8388799591064453
2024-05-28 08:25:00,0.9373430023193361
2024-05-28 08:30:00,1.0451822204589845
2024-05-28 08:35:00,0.9977137298583985
2024-05-28 08:40:00,0.9347124786376952
2024-05-28 08:45:00,0.9594219818115234
2024-05-28 08:50:00,1.0156255035400392
2024-05-28 08:55:00,1.0711290283203125
2024-05-28 09:00:00,1.1028125610351562
2024-05-28 09:05:00,1.1666916198730468
2024-05-28 09:10:00,1.2384483947753906
2024-05-28 09:15:00,1.2440136108398439
2024-05-28 09:20:00,1.2077186584472657
2024-05-28 09:25:00,1.2030004272460937
2024-05-28 09:30:00,1.2901750793457032
2024-05-28 09:35:00,1.4020368347167969
2024-05-28 09:40:00,1.449985137939453
2024-05-28 09:45:00,1.4436943664550779
2024-05-28 09:50:00,1.4511774291992188
2024-05-28 09:55:00,1.4816952514648438
2024-05-28 10:00:00,1.5055811767578124
2024-05-28 10:05:00,1.54113232421875
2024-05-28 10:10:00,1.5717077331542968
2024-05-28 10:15:00,1.57667529296875
2024-05-28 10:20:00,1.5777787170410156
2024-05-28 10:25:00,1.6232278747558593
2024-05-28 10:30:00,1.7033680725097655
2024-05-28 10:35:00,1.740306182861328
2024-05-28 10:40:00,1.749461883544922
2024-05-28 10:45:00,1.75695849609375
2024-05-28 10:50:00,1.7230303039550778
2024-05-28 10:55:00,1.507063690185547
2024-05-28 11:00:00,1.3228120727539063
2024-05-28 11:05:00,1.282209014892578
2024-05-28 11:10:00,1.2584640197753907
2024-05-28 11:15:00,1.4390593566894532
2024-05-28 11:20:00,1.5963607482910156
2024-05-28 11:25:00,1.4474635162353515
2024-05-28 11:30:00,1.3006044921875
2024-05-28 11:35:00,1.5186162567138672
2024-05-28 11:40:00,1.7621657409667968
2024-05-28 11:45:00,1.785661834716797
2024-05-28 11:50:00,1.7949431457519531
2024-05-28 11:55:00,1.8013520202636721
2024-05-28 12:00:00,1.7965416564941405
2024-05-28 12:05:00,1.7925284423828125
2024-05-28 12:10:00,1.790356414794922
2024-05-28 12:15:00,1.7898609008789061
2024-05-28 12:20:00,1.791300567626953
2024-05-28 12:25:00,1.78170068359375
2024-05-28 12:30:00,1.754
2024-05-28 12:35:00,1.709
2024-05-28 12:40:00,1.759
2024-05-28 12:45:00,1.744
2024-05-28 12:50:00,1.752
2024-05-28 12:55:00,1.792
2024-05-28 13:00:00,1.657
2024-05-28 13:05:00,1.569
2024-05-28 13:10:00,1.647
2024-05-28 13:15:00,1.78
2024-05-28 13:20:00,1.744
2024-05-28 13:25:00,1.722
2024-05-28 13:30:00,1.579
2024-05-28 13:35:00,1.711
2024-05-28 13:40:00,1.689
2024-05-28 13:45:00,1.687
2024-05-28 13:50:00,1.671
2024-05-28 13:55:00,1.662
2024-05-28 14:00:00,1.648
2024-05-28 14:05:00,1.637
2024-05-28 14:10:00,1.611
2024-05-28 14:15:00,1.597
2024-05-28 14:20:00,1.589
2024-05-28 14:25:00,1.575
2024-05-28 14:30:00,1.552
2024-05-28 14:35:00,1.53
2024-05-28 14:40:00,1.508
2024-05-28 14:45:00,1.488
2024-05-28 14:50:00,1.477
2024-05-28 14:55:00,1.461
2024-05-28 15:00:00,1.436
2024-05-28 15:05:00,1.413
2024-05-28 15:10:00,1.384
2024-05-28 15:15:00,1.372
2024-05-28 15:20:00,1.376
2024-05-28 15:25:00,1.353
2024-05-28 15:30:00,1.303
2024-05-28 15:35:00,1.285
2024-05-28 15:40:00,1.262
2024-05-28 15:45:00,1.23
2024-05-28 15:50:00,1.209
2024-05-28 15:55:00,1.179
2024-05-28 16:00:00,1.157
2024-05-28 16:05:00,1.132
2024-05-28 16:10:00,1.103
2024-05-28 16:15:00,1.077
2024-05-28 16:20:00,1.041
2024-05-28 16:25:00,1.008
2024-05-28 16:30:00,0.9687
2024-05-28 16:35:00,0.9344
2024-05-28 16:40:00,0.9025
2024-05-28 16:45:00,0.8625
