Element, NumTerminals, NumConductors, NumPhases, kW1, kvar1, kW2, kvar2, kW3, kvar3, ... 
"Line.LINE34", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE35", 2, 3, 3,     39.231,     12.899,     41.304,     13.561,     37.334,     12.278,    -39.230,    -12.898,    -41.302,    -13.560,    -37.333,    -12.277
"Line.LINE36", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE37", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE38", 2, 3, 3,     39.230,     12.898,     41.302,     13.560,     37.333,     12.277,    -39.229,    -12.897,    -41.301,    -13.559,    -37.332,    -12.276
"Line.LINE39", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE40", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE41", 2, 3, 3,     39.229,     12.897,     41.301,     13.559,     37.332,     12.276,    -39.227,    -12.896,    -41.299,    -13.557,    -37.331,    -12.275
"Line.LINE42", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE43", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE44", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE45", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE46", 2, 3, 3,     27.191,      8.954,     29.260,      9.591,     32.328,     10.630,    -27.191,     -8.953,    -29.260,     -9.591,    -32.327,    -10.630
"Line.LINE47", 2, 3, 3,     12.036,      3.942,     12.039,      3.967,      5.003,      1.645,    -12.035,     -3.943,    -12.038,     -3.966,     -5.003,     -1.645
"Line.LINE48", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE49", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE50", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE51", 2, 3, 3,     27.191,      8.953,     29.260,      9.591,     32.327,     10.630,    -27.190,     -8.953,    -29.258,     -9.590,    -32.324,    -10.629
"Line.LINE52", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE53", 2, 3, 3,     12.035,      3.943,     12.038,      3.966,      5.003,      1.645,    -12.035,     -3.943,    -12.038,     -3.966,     -5.003,     -1.645
"Line.LINE54", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE55", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
"Line.LINE56", 2, 3, 3,     27.190,      8.953,     29.258,      9.590,     32.324,     10.629,    -27.189,     -8.952,    -29.257,     -9.590,    -32.323,    -10.628
"Line.LINE57", 2, 3, 3,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000,      0.000
