,PUI_bus_CP1,PUI_bus_CP2,PUI_bus_CP3
2024-10-17 00:00:00,87.37183623519594,199.99999854634112,199.99999846452502
2024-10-17 00:05:00,111.71132151232463,199.9999982675918,199.99999846603149
2024-10-17 00:10:00,92.48735607487811,199.9999995402954,199.9999984631319
2024-10-17 00:15:00,103.63855991531032,199.99999971178275,199.99999845114073
2024-10-17 00:20:00,65.69542883243341,199.99999938398446,199.9999996694176
2024-10-17 00:25:00,69.1836595102999,199.99999965334945,199.99999970199192
2024-10-17 00:30:00,80.33096099304369,199.9999996799562,199.99999970236226
2024-10-17 00:35:00,87.41095873075305,199.9999997615834,199.9999997042271
2024-10-17 00:40:00,85.74996289636492,199.99999994803528,199.99999952941968
2024-10-17 00:45:00,91.39615455940802,199.99999989153773,199.9999984658987
2024-10-17 00:50:00,91.71122792730935,199.99999972982107,199.99999845905106
2024-10-17 00:55:00,93.02353284808704,199.99999928912632,199.99999845753146
2024-10-17 01:00:00,91.03532568159808,199.99999980011023,199.99999845791592
2024-10-17 01:05:00,110.95556321531357,199.99999982757436,199.99999845886063
2024-10-17 01:10:00,129.21402308913716,199.99999976359936,199.99999846362795
2024-10-17 01:15:00,141.62682402857095,199.99999978374063,199.99999846494057
2024-10-17 01:20:00,142.46938149595755,199.999999735278,199.9999984557274
2024-10-17 01:25:00,138.93281458429968,199.99999972148336,199.99999846980688
2024-10-17 01:30:00,104.46050489243714,199.99999979261256,199.99999916085974
2024-10-17 01:35:00,87.15804372933158,199.9999998324862,199.9999998174546
2024-10-17 01:40:00,78.7221179136497,199.99999991230757,199.99999959662102
2024-10-17 01:45:00,68.04948178483522,199.99999994769425,199.99999992690465
2024-10-17 01:50:00,91.62567050032544,199.99999964829928,199.99999981609392
2024-10-17 01:55:00,95.74803221471025,199.99999944588208,199.9999997401117
2024-10-17 02:00:00,90.88146428259996,199.99999944090078,199.9999997488555
2024-10-17 02:05:00,91.44780043468663,199.9999992673509,199.99999981927448
2024-10-17 02:10:00,91.67102865916395,199.9999984631854,199.999999576582
2024-10-17 02:15:00,92.12581576328736,199.99999837246122,199.99999957864674
2024-10-17 02:20:00,113.27038394706396,199.99999974632357,199.99999845676749
2024-10-17 02:25:00,94.41152422649517,199.99999972252468,199.99999845850945
2024-10-17 02:30:00,121.87525911303969,199.9999997641351,199.9999984583257
2024-10-17 02:35:00,122.57957589903184,199.99999957876858,199.99999844568433
2024-10-17 02:40:00,107.44307932997297,199.99999935463512,199.99999845299
2024-10-17 02:45:00,96.10624542879876,199.99999927075328,199.99999846439914
2024-10-17 02:50:00,108.93669799951951,199.99999936036212,199.9999984594148
2024-10-17 02:55:00,92.37360328384617,199.9999986247439,199.9999998128598
2024-10-17 03:00:00,70.83717873823457,199.9999982545825,199.99999981275985
2024-10-17 03:05:00,56.16545266208741,199.9999983935176,199.99999981349256
2024-10-17 03:10:00,69.49440282989738,199.99999949146772,199.99999981449898
2024-10-17 03:15:00,63.53101320257558,199.99999951905082,199.99999915753637
2024-10-17 03:20:00,48.79213303154346,199.99999982380967,199.99999845633823
2024-10-17 03:25:00,50.33013741727578,199.9999997750469,199.99999845700054
2024-10-17 03:30:00,65.10340009937966,199.99999974657433,199.99999846719575
2024-10-17 03:35:00,60.83926199503904,199.9999993371409,199.999997930218
2024-10-17 03:40:00,71.000523547326,199.99999967571918,199.9999995800092
2024-10-17 03:45:00,69.9994247892975,199.99999954717356,199.99999957686884
2024-10-17 03:50:00,75.45275551286836,199.99999990703134,199.9999995768887
2024-10-17 03:55:00,84.5640194358986,199.9999998693432,199.9999995786135
2024-10-17 04:00:00,86.74061915882176,199.99999937700684,199.99999793456797
2024-10-17 04:05:00,86.98704726740938,199.99999983465685,199.99999846828962
2024-10-17 04:10:00,82.7323977121909,199.99999913738742,199.9999984451302
2024-10-17 04:15:00,83.04603061039973,199.99999829066394,199.99999846304755
2024-10-17 04:20:00,83.9540129350432,199.99999834249118,199.99999846345332
2024-10-17 04:25:00,102.78162955795021,199.99999848889186,199.99999846862593
2024-10-17 04:30:00,82.0668888421749,199.9999983932909,199.99999846322217
2024-10-17 04:35:00,78.89664735351097,199.99999872563177,199.99999845982356
2024-10-17 04:40:00,76.99292592508326,199.99999988891082,199.99999845878557
2024-10-17 04:45:00,76.52643522291301,199.9999997329444,199.9999984490509
2024-10-17 04:50:00,72.79670784300686,199.9999998754555,199.99999845976873
2024-10-17 04:55:00,63.17802898172897,199.99999987723504,199.9999984622162
2024-10-17 05:00:00,69.28787271084865,199.9999997741434,199.99999894240705
2024-10-17 05:05:00,67.26949099614538,199.99999957420604,199.99999957974518
2024-10-17 05:10:00,69.49008278368176,199.9999992360125,199.99999967007662
2024-10-17 05:15:00,87.11967486651164,199.99999829933066,199.99999970208017
2024-10-17 05:20:00,87.75063872093682,199.99999841114112,199.99999970323876
2024-10-17 05:25:00,82.60454569553617,199.99999844995142,199.99999982045483
2024-10-17 05:30:00,86.27716288409843,199.99999823605944,199.9999998151806
2024-10-17 05:35:00,71.87662940284147,199.99999850571473,199.99999847014257
2024-10-17 05:40:00,67.44946569270806,199.99999847882094,199.99999846516153
2024-10-17 05:45:00,103.82716878412359,199.9999995147545,199.99999846007674
2024-10-17 05:50:00,83.83385614179281,199.99999938586365,199.99999845432853
2024-10-17 05:55:00,125.71866865357642,199.99999958967115,199.9999984593758
2024-10-17 06:00:00,133.45580056368723,199.99999985108937,199.9999984593649
2024-10-17 06:05:00,151.48493691552608,199.99999986578635,199.99999846105192
