,CP_1_1,CP_2_1,CP_3_1,PV_1_1,PV_2_1,PV_3_1,PV_4_1,PV_5_1,PV_6_1,PV_7_1,PV_8_1,PV_9_1,PV_10_1,PV_11_1,PV_12_1,f1,f2
0,0.0,9.903731336625148,0.0,4.942523459118406,4.953220753781483,4.95282427637995,4.938189491293824,4.953488122746244,4.879250120064384,4.9468010335563966,4.9509687490552245,4.951943774618793,4.950702386154011,4.938183148138762,4.952433164089459,1709.0607713272655,0.018223506990467323
1,0.0,9.906305395906966,0.0,4.266814902150079,4.9476700440052985,3.96054808889987,2.4727457490883538,4.9518644590352565,2.687041284955023,4.953527821757348,4.952934430692979,4.942278607574132,4.946314303891968,4.882472310836087,4.949097495559223,0.19231457433419477,42.66981256646142
2,0.0,9.904880472242734,0.0,4.952343450061981,4.953302336601789,4.953172183086561,3.067697914857104,4.95101499368084,3.5185567737768397,4.939613083205811,4.947390613762663,4.952720490453484,4.946278352472021,4.952724650827259,4.952184323993389,436.322982186413,11.279681997208407
3,0.0,9.901194716801616,0.0,4.953457859363281,4.953401377228645,4.931208102472561,4.074789388833286,4.95369473185032,3.775684101846932,4.9461510812445395,4.95033461960631,4.941218624303717,4.946524969859331,4.932211683868601,4.9492618104573,901.5673168539435,4.569267914820645
4,0.0,9.903731336625148,0.0,4.9225018831210665,4.947675416338202,4.937790652171004,4.951109525439101,4.95166833749409,4.779113341467247,4.926636028808488,4.946939105522523,4.952738430996518,4.947913493004635,4.917269405360826,4.9511901431733545,1673.1838339286167,0.09795471915784389
5,0.0,9.93300948591072,0.0,4.952999413141866,4.953648404089316,4.951988319241976,4.080448137029937,4.953309783888575,3.954014090742411,4.952877047003966,4.946483246882978,4.941207733119621,4.953629070552444,4.918798235319864,4.950709022896767,989.781092476704,3.7458135918112863
6,0.0,9.901066902077984,0.0,4.936942295503019,4.952762558353422,4.951127930706191,3.34885380295164,4.9516526645424666,4.308743595252043,4.946742317720832,4.947186451360439,4.944569728413949,4.946497745111904,4.91840089989699,4.9527492255481596,823.942294381886,5.472295173265871
7,0.0,9.93481765688738,0.0,4.9527581834121905,4.953200775355904,4.94597028330805,3.491535980614549,4.951809810670523,4.684708174834722,4.94624002062356,4.947854718772037,4.939964569312945,4.94632985142425,4.890992044636282,4.952801651706175,1047.2093523484477,3.3905951762707005
8,0.0,9.902799422659808,0.0,4.939967383183269,4.95278206140802,4.945496988608507,3.309690883166163,4.953561625405087,3.2041966771096044,4.936891025678662,4.952485433863161,4.938633269800191,4.952402857810841,4.930170135308098,4.951532359214935,409.04100834940846,12.094482484495154
9,0.0,9.904437969987173,0.0,4.947020349708372,4.953299384826407,4.932512794675628,3.4828637466016557,4.9533778180649035,3.776768283221507,4.953640760269709,4.947545455740369,4.949262146678305,4.953381562684885,4.913569767486768,4.95276913708057,667.6611498324804,7.450234350696698
10,0.0,9.906629272488725,0.0,4.951504906780113,4.9533906664476435,4.865935037642765,4.651114049468228,4.952825331532422,4.32111059005365,4.945948621654988,4.9499205214963995,4.95311044652958,4.939980290544478,4.930736256461325,4.951544500954665,1357.7754880313862,1.1629502905174858
11,0.0,9.9178907707367,0.0,4.6114441790182585,4.9536370716260505,4.351152573151597,2.5554244369181967,4.95354270344614,2.6919344095842854,4.944765843709348,4.936320872748209,4.946174855372381,4.94517050193426,4.940869747078196,4.952332290993654,40.362121148645606,32.066776789946104
12,0.0,9.907531852778101,0.0,4.9523053993076305,4.953239516350913,4.9526616240356836,3.067473627636128,4.951059885368785,3.8004930715392566,4.939046947803814,4.953344211567892,4.948870209415091,4.941009498081667,4.9324358370991135,4.9511371500548425,531.0297522424906,9.625171002713104
13,0.0,9.904002190751438,0.0,4.952985904225669,4.953033476230594,4.94966462731551,4.310418426373808,4.94789143655912,4.164509350354247,4.948539845404624,4.950554291346562,4.902897943418961,4.948879296234476,4.9466291762844,4.951552763045366,1170.0985195786302,2.3042220292516746
14,0.0,9.905481216080604,0.0,4.952808283586083,4.953478866262521,4.9498324048719216,3.2868101028715944,4.952284165766067,4.251629815212569,4.94577739321635,4.947376375847279,4.952327073770297,4.953660741973666,4.942494003781352,4.952904607905934,779.5570232989947,5.779884880200927
